Season,Team,Pts_deducted
1891,Sunderland,2
1927,Stockport County,2
1974,Scunthorpe United,-2
1974,Newport County,1
1974,Preston North End,1
1975,Aldershot,1
1982,Mansfield Town,2
1982,Bristol Rovers,2
1983,Blackpool,2
1988,Tranmere Rovers,2
1988,Halifax Town,1
1991,Manchester United,1
1991,Arsenal,2
1997,Brighton & Hove Albion,2
1997,Middlesbrough,3
1998,Leyton Orient,3
2001,Chesterfield,9
2003,Boston United,4
2005,Cambridge United,10
2005,Wrexham,10
2007,Boston United,10
2007,Rotherham United,10
2007,Leeds United,10
2008,Rotherham United,10
2008,Luton Town,10
2008,Leeds United,15
2008,Bournemouth,10
2009,Rotherham United,17
2009,Luton Town,30
2009,Bournemouth,17
2009,Darlington,10
2009,Stockport County,10
2010,Southampton,10
2010,Hartlepool United,3
2010,Crystal Palace,10
2010,Portsmouth,9
2011,Torquay United,1
2011,Hereford United,3
2011,Plymouth Argyle,10
2012,Port Vale,10
2012,Portsmouth,10
2013,Aldershot Town,10
2013,Portsmouth,10
2013,Coventry City,10
2014,AFC Wimbledon,3
2014,Coventry City,10
2015,Rotherham United,3
2019,Brentford,-3
2019,Birmingham City,9
2020,Bury,12
2020,Bolton Wanderers,12
2020,Macclesfield Town,17
2020,Wigan Athletic,12
2021,Sheffield Wednesday,6
2022,Derby County,12
2022,Derby County,9
2022,Reading,6
2023,Reading,6
2023,Wigan Athletic,3
2024,Everton,6
2024,Everton,8
2024,Nottingham Forest,4
2024,Wigan Athletic,4
2024,Wigan Athletic,4
2024,Reading,1
2024,Reading,2
2024,Reading,3
2024,Morecambe,3
2025,Sheffield United,2
