,AFC Wimbledon, Aberdeen, Accrington Stanley, Arsenal, Aston Villa, Barnsley, Barrow, Birmingham City, Blackburn Rovers, Blackpool, Bolton Wanderers, Bournemouth, Bradford City, Brentford, Brighton, Bristol City, Bristol Rovers, Burnley, Burton Albion, Cambridge United, Cardiff City, Carlisle United, Celtic, Charlton Athletic, Chelsea, Cheltenham Town, Colchester United, Coventry City, Crawley Town, Crewe Alexandra, Crystal Palace, Derby County, Doncaster Rovers, Dundee, Everton, Exeter City, Fleetwood Town, Forest Green Rovers, Fulham, Gillingham, Grimsby Town, Harrogate Town, Heart of Midlothian, Hibernian, Huddersfield Town, Hull City, Ipswich Town, Kilmarnock, Leeds United, Leicester City, Leyton Orient, Lincoln City, Liverpool, Livingston, Luton Town, MK Dons, Manchester City, Manchester United, Mansfield Town, Middlesbrough , Millwall, Morecambe, Motherwell, Newcastle United, Newport County, Northampton Town, Norwich City, Nottingham Forest, Notts County, Oxford United, Peterborough United, Plymouth Argyle, Port Vale, Portsmouth, Preston North End, Queens Park Rangers, Rangers, Reading, Ross County, Rotherham United, Salford City, Sheffield United, Sheffield Wednesday, Shrewsbury Town, Southampton, St Johnstone, St Mirren, Stevenage Borough, Stockport County, Stoke City, Sunderland, Sutton United, Swansea City, Swindon Town, Tottenham Hotspur, Tranmere Rovers, Walsall, Watford, West Bromwich Albion, West Ham, Wigan Athletic, Wolverhampton Wanderers, Wrexham, Wycombe Wanderers
AFC Wimbledon,X,,,,M40,M1,,M40,,,,,M1,,,M4,M4,,,M11,M4,,,,,M4,A12,,,,,,,,,,,M4,,,,,,,M1,,A12,,M1,,,,,,M1,,,,,,,,,,M4,M1,,,,,,,,A3,,,,M4,,,,,,,M3,,,,,,,,M4,M4,,,M40,,M40,,,M40,,
 Aberdeen,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A90,,,,,,,,,,,,,,,,,,
 Accrington Stanley,,,X,,M6,M62,,M6,M65,,,,,,,,,,,,,M6,,,,M6,,M6,,M6,,,M62,,,M5,,,,,,A59,,,,M62,,,M62,,,,,,,,,,,,,,,,,M6,,,,,,M5,M6,,M65,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,,M6,,
 Arsenal,,,,X,,M1,,,,,,,M1,,,M4,M4,,,M11,M4,,,,,,A12,,,,,,,,,,,M4,,,,,,,M1,,A12,,M1,,,,,,M1,M1,,,,,,M6,,,M4,M1,,,,,,,,,,,,,,M1,,,,,M3,,,,,,,,M4,M4,,,,,,,,,,
 Aston Villa,M40,,M6,,X,M1,M6,,M6,M6,M6,,,M40,,M5,M5,M6,,A14,,M6,,,M40,M5,,M6,M40,M6,M40,,,,M6,M5,M6,M5,M40,,,,,,M6,,,,M1,,,,M6,,M1,,M6,M6,,,,M6,,,,M6,,,,M40,,M5,,,M6,M40,,,,M1,M6,,M1,,,,,,M6,M6,,M40,,M5,M1,M6,,M1,A4040,,M6,,,M40
 Barnsley,M1,,M62,M1,M1,X,,M1,,,M62,,,M1,M1,,,,M1,,,,,,M1,,,M1,M1,,M1,M1,,,,M5,,,M1,,,,,,,M62,,,M1,M1,,,,,M1,M1,,,M1,,,,,,,M1,,M1,M1,M1,,,,,,M1,,M1,,,M62,M1,,,,,,,,,,M1,,,M1,,M1,M1,M1,,M62,,,M1
 Barrow,,,,,M6,,X,,,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M6,,M6,,,M6,,
 Birmingham City,M40,,M6,,,M1,,X,M6,M6,M6,,,M40,M40,M5,M5,M6,,A14,,M6,,,M40,M5,,M6,M40,M6,M40,,,,M6,M5,M6,M5,M40,,,,,,M6,,,,M1,,,,M6,,M1,,M6,M6,,,,M6,,,,M6,,,,M40,,M5,,,M6,M40,,,,M1,M6,,,,,,,,M6,,,M40,,M5,M1,M6,,M1,,,M6,,,M40
 Blackburn Rovers,,,M65,,M6,,,M6,X,,M61,,,,,,,M65,M6,,,M6,,,,M6,,M6,,M6,,,M62,,,M5,,,,,,,,,,M62,,,M62,,,,,,,,,M61,,,,,,,,M6,,,,,,M5,M6,,,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,M6,M6,,
 Blackpool,,,,,M6,,,M6,,X,,,,,,,,,,,,M6,,,,M6,,M6,,M6,,,,,,M5,,,,,,,,,,M62,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M6,,M55,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,,M6,,
 Bolton Wanderers,,,,,M6,M62,,M6,M61,,X,,M62,,,,,M65,,,,M6,,,,,,M6,,,,,M62,,,M5,,,,,,,,,M62,M62,,,M62,,,,,,,,,,,,,,,,,,,,,,,M5,,,M61,,,,,,M61,,,,,,,,M60,,,,,,,,M6,,M6,,,M6,,
 Bournemouth,,,,,,,,,,,,X,,M3,,,,,,,,,,,M3,,,,,,,,,,,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,
 Bradford City,M1,,,M1,,,,,,,M62,,X,M1,M1,,,,M1,,,,,,M1,,,M1,M1,,M1,M1,,,,M5,,,M1,,,,,,,M62,,,,M1,,,,,M1,M1,M62,M62,M1,,,,,,,M1,,M1,M1,M1,,,,,,M1,,M1,,,M62,M1,,,,,,,M62,,,M1,,,M1,,,M1,,,M62,,,M1
