Name,City,Country,Latitude,Longtiude,Status,Visited
Hard Rock Cafe Amsterdam,Amsterdam,Netherlands,52.36207172,4.882991226,OPEN,N
Hard Rock Cafe Angkor,Angkor,Cambodia,13.35325507,103.8567128,OPEN,N
Hard Rock Cafe Asuncion,Asuncion,Paraguay,-25.28925085,-57.5738499,OPEN,N
Hard Rock Cafe Athens,Athens,Greece,37.97577263,23.72522305,OPEN,Y
Hard Rock Cafe Atlanta,Atlanta,USA,33.75996788,-84.3874499,OPEN,N
Hard Rock Cafe Atlantic City ,Atlantic City,USA,39.35930619,-74.42024381,OPEN,N
Hard Rock Cafe Ayia Napa,Ayia Napa,Cyprus,34.98937538,34.00026546,OPEN,N
Hard Rock Cafe I Gusti Ngurah Rai (Bali Airport),Bali Airport,Bali,-8.744617517,115.1690803,OPEN,N
Hard Rock Cafe Bali,Bali,Bali,-8.720512302,115.1699913,OPEN,N
Hard Rock Cafe Baltimore,Baltimore,USA,39.28626745,-76.60719157,OPEN,Y
Hard Rock Cafe Bangkok,Bangkok,Thailand,13.74365112,100.5420131,OPEN,Y
Hard Rock Cafe Beijing,Beijing,China,39.94609055,116.46266,CLOSED,Y
Hard Rock Cafe Beirut,Beirut,Lebanon,33.88888713,35.49550087,CLOSED,Y
Hard Rock Cafe Bengaluru Airport,Bengaluru Airport (BLR),India,13.19884524,77.71913919,OPEN,N
Hard Rock Cafe Bangalore,Bangalore / Bengaluru,India,12.97634605,77.60152124,OPEN,N
Hard Rock Cafe Berlin,Berlin,Germany,52.50320117,13.32944872,OPEN,N
Hard Rock Cafe Biloxi,Biloxi,USA,30.39284804,-88.88753852,OPEN,N
Hard Rock Cafe Birmingham,Birmingham,UK,52.47487622,-1.914500606,CLOSED,Y
Hard Rock Cafe Boston,Boston,USA,42.36099035,-71.05524764,OPEN,Y
"Hard Rock Cafe Bristol, VA (USA)",Bristol,VA (USA),36.59896068,-82.21962578,OPEN,N
Hard Rock Cafe Brussels,Brussels,Belgium,50.8462746,4.352956879,OPEN,Y
Hard Rock Cafe Bucharest,Bucharest,Romania,44.47566704,26.07622842,OPEN,N
Hard Rock Cafe Budapest,Budapest,Hungary,47.49617591,19.05076955,OPEN,N
Hard Rock Cafe Buenos Aires at Puerto Madero,Buenos Aires at Puerto Madero,Argentina,-34.60036302,-58.36721537,OPEN,N
Hard Rock Cafe Buenos Aires Ezeiza Airport,Buenos Aires Ezeiza Airport EZE,Argentina,-34.81284897,-58.53892901,OPEN,N
Hard Rock Cafe Buenos Aires Airport,Buenos Aires Airport AEP,Argentina,-34.55644536,-58.41373219,OPEN,N
Hard Rock Cafe Cabo San Lucas,Cabo San Lucas,Mexico,22.88646677,-109.9097923,OPEN,N
Hard Rock Cafe Cairo,Cairo,Egypt,30.02794093,31.26672048,CLOSED,Y
Hard Rock Cafe Cancun,Cancun,Mexico,21.13238729,-86.74705394,OPEN,Y
Hard Rock Cafe Cape Town,Cape Town,South Africa,-33.95295955,18.37737615,OPEN,N
Hard Rock Cafe Caracas,Caracas,Venezula,10.50301841,-66.84567237,OPEN,N
Hard Rock Cafe Cartagena,Cartagena,Colombia,10.42278012,-75.54982666,OPEN,N
Hard Rock Cafe Chandigarh,Chandigarh,India,30.7260494,76.8050907,OPEN,N
Hard Rock Cafe Changi Airport Singapore,Changi Airport Singapore,Singapore,1.354966266,103.989553,OPEN,N
Hard Rock Cafe Chennai ,Chennai,India,13.06603369,80.24234122,OPEN,N
Hard Rock Cafe Chiang Mai,Chiang Mai,Thailand,18.78419067,99.00059779,OPEN,N
Hard Rock Cafe Chicago,Chicago,USA,41.89321455,-87.63039427,CLOSED,Y
Hard Rock Cafe Cincinnati,Cincinnati,USA,39.10801692,-84.50739597,OPEN,N
Hard Rock Cafe Ciudad Del Este,Ciudad Del Este,Paraguay,-25.50985725,-54.60562012,OPEN,N
Hard Rock Cafe Clark,Clark,Philippines,15.19232525,120.5246653,OPEN,N
Hard Rock Cafe Cologne,Cologne,Germany,50.93624191,6.957800235,OPEN,N
Hard Rock Cafe Copenhagen,Copenhagen,Denmark,55.67678274,12.56909242,OPEN,N
Hard Rock Café Cordoba Airport,Cordoba Airport ,Spain,-31.31537766,-64.21362742,OPEN,N
Hard Rock Cafe Cozumel,Cozumel,Mexico,20.47902463,-86.9726121,OPEN,N
Hard Rock Cafe Curitiba,Curitiba,Brazil,-25.43797294,-49.28104406,OPEN,N
Hard Rock Cafe Dallas,Dallas,USA,32.78499521,-96.80957167,CLOSED,Y
Hard Rock Cafe Dubai Airport,Dubai,UAE,25.24792458,55.36437803,OPEN,N
Hard Rock Cafe Dubai,Dubai,UAE,25.22434289,55.35153652,OPEN,N
Hard Rock Cafe Dublin,Dublin,Ireland,53.34599333,-6.260877122,OPEN,Y
Hard Rock Cafe Dubrovnik,Dubrovnik,Croatia,42.64170796,18.10708142,OPEN,Y
Hard Rock Cafe Edinburgh,Edinburgh,Scotland,55.95371569,-3.196281344,OPEN,Y
Hard Rock Cafe Florence,Florence,Italy,43.77212906,11.25345013,OPEN,N
Hard Rock Cafe Florianópolis,Florianópolis,Brazil,-27.59038207,-48.51457221,OPEN,N
Hard Rock Cafe Foxwoods,Foxwoods,USA,41.47355996,-71.95733667,OPEN,N
Hard Rock Cafe Fukuoka,Fukuoka,Japan,33.58998869,130.4204315,CLOSED,Y
Hard Rock Cafe Gary (Northern Indiana),Gary (Northern Indiana),USA,41.56830698,-87.40675984,OPEN,N
Hard Rock Cafe Gdansk,Gdansk,Poland,54.34852418,18.65451834,OPEN,N
Hard Rock Cafe Gothenburg,Gothenburg,Sweden,57.7015208,11.97461774,OPEN,N
Hard Rock Cafe Gramado,Gramado,Brazil,-29.38102162,-50.87114,OPEN,N
Hard Rock Cafe Gran Canaria,Gran Canaria,Spain,27.75385893,-15.5700629,OPEN,Y
Hard Rock Cafe Guadalajara,Guadalajara,Mexico,20.67713679,-103.413359,OPEN,N
Hard Rock Cafe Guam USA,Guam USA,USA,13.51521021,144.805933,OPEN,N
Hard Rock Cafe Guwahati,Guwahati,India,26.16589591,91.77949149,OPEN,N
Hard Rock Cafe Guyana,Guyana,Guyana,6.824892496,-58.11428517,OPEN,N
Hard Rock Cafe Hamburg,Hamburg,Germany,53.54586772,9.967622809,OPEN,Y
Hard Rock Cafe Hollywood Blvd. (Los Angeles),Hollywood Blvd. (Los Angeles),USA,34.10190445,-118.3404863,OPEN,Y
"Hard Rock Cafe Hollywood, FL","Hollywood, FL",USA,26.05274579,-80.2112158,OPEN,Y
